zoneCover,eLength,catching,mPassAcc,agility,discipline,throwOnRun,passBlock,rushBlock,eSalary,releaseLine,iden,injuryProne,salary,dPassAcc,stamina,intelligence,jumping,routeRun,forename,potential,position,loyalty,surname,power,sPassAcc,length,growthType,ambition,ballSecurity,blockShedding,appearance,greed,draftNum,trucking,teamID,tackle,decisions,kickAccuracy,guarantee,eGuarantee,ballStrip,elusiveness,skillMove,age,manCover,burst,rating,draftSeason,vision,speed
19,1,43,25,89,39,10,60,37,1,51,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,14,750000,15,84,62,90,48,Ameer,5,RB,21,Abdullah,68,30,1,1,31,79,30,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",0,53,59,MIN,42,62,21,1,1,21,93,81,27,10,90,1,2014,42,80
9,1,1,6,52,63,6,68,67,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,750000,6,85,77,61,8,Oday,1,OG,74,Aboushi,81,6,2,1,27,45,25,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",36,135,29,LAC,35,77,28,1,1,25,57,10,29,11,53,1,2012,65,25
69,1,40,33,84,83,35,35,35,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,12,750000,25,89,73,81,13,Johnathan,19,S,93,Abram,70,45,3,1,79,64,60,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",87,26,25,LAS,70,73,21,1,1,91,81,63,23,66,83,1,2018,58,87
55,1,33,6,81,60,6,45,45,1,18,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,12,760000,6,90,72,81,18,Tyrell,4,LB,41,Adams,63,6,1,1,65,53,68,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",90,224,56,BUF,85,72,20,1,1,83,73,59,28,46,80,1,2016,57,72
70,1,45,6,83,35,6,35,35,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,910000,6,88,76,82,13,Andrew,1,S,42,Adams,72,6,1,1,92,59,43,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",5,224,51,TB,68,76,21,1,1,78,80,67,27,64,85,1,2015,63,78
58,1,22,6,80,8,6,45,45,1,20,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,28,1230000,6,81,61,81,7,Matthew,1,LB,57,Adams,79,6,2,1,63,46,63,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",89,194,30,IND,81,61,14,1,1,86,73,30,24,53,80,1,2017,40,77
15,1,1,6,62,32,6,61,63,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,20,1,6,87,52,68,8,Paul,1,OT,31,Adams,77,6,0,1,51,26,23,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",83,224,25,Free Agent,41,52,25,1,1,31,49,10,25,12,63,1,2017,26,43
21,1,63,10,80,71,10,56,61,1,63,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,14,1,6,78,54,80,58,Jerell,1,TE,26,Adams,72,15,0,1,20,70,29,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",61,168,68,Free Agent,33,54,19,1,1,27,74,58,27,14,77,1,2016,29,73
24,1,98,10,92,68,10,38,48,1,99,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,19605000,6,96,98,94,97,Davante,11,WR,54,Adams,63,15,2,1,49,76,52,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",90,52,63,GB,42,98,30,1,1,15,92,82,27,18,87,1,2013,97,85
20,1,37,15,88,80,17,47,34,1,51,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,28,750000,10,83,65,82,52,Josh,2,RB,93,Adams,74,20,1,1,84,88,27,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",15,224,81,NYJ,26,65,12,1,1,25,78,73,23,15,82,1,2017,46,82
29,1,20,6,73,54,6,45,45,1,25,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,34,760000,6,75,65,72,14,Montravius,10,DE,95,Adams,86,6,2,1,59,49,65,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",30,92,38,NE,76,65,6,1,1,79,56,15,25,24,77,1,2016,46,60
90,1,52,10,87,0,15,35,35,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,32,2720000,10,93,87,81,27,Jamal,12,S,88,Adams,78,15,2,1,8,60,69,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",15,5,45,SEA,77,87,25,1,1,95,88,55,24,82,83,1,2016,80,85
75,1,53,10,82,21,15,35,35,1,20,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,22,750000,10,89,78,90,13,Jahleel,2,S,40,Addae,62,15,1,1,31,62,59,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",68,224,57,LAC,71,78,30,1,1,84,78,54,30,72,77,1,2020,66,72
75,1,55,6,88,46,6,30,30,1,21,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,1020000,6,88,73,90,20,Nasir,1,S,16,Adderley,65,6,3,1,13,63,52,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",4,59,53,LAC,71,73,17,1,1,73,84,62,23,67,83,1,2018,58,80
49,1,3,6,81,4,6,45,45,1,25,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,5653333,6,73,84,74,31,Mario,12,DE,65,Addison,76,6,3,1,85,54,70,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",48,224,35,BUF,81,84,16,1,1,72,68,55,32,37,73,1,2010,75,65
66,1,38,65,84,58,65,65,65,1,65,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,760000,65,95,67,88,53,Paulson,10,CB,16,Adebo,48,65,4,1,64,59,65,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",75,224,36,NO,63,67,65,1,1,57,82,57,22,69,88,1,2020,49,80
24,1,58,24,89,94,25,35,39,1,60,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,14,1,15,82,50,83,68,Quincy,1,WR,17,Adeboyejo,56,30,0,1,42,72,22,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",93,224,37,Free Agent,24,50,22,1,1,20,87,67,25,16,87,1,2015,23,87
11,1,1,6,43,34,6,67,67,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,825000,6,82,72,82,7,Hakeem,1,OT,39,Adeniji,84,6,4,1,28,40,30,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",3,160,10,CIN,36,72,12,1,1,42,45,10,22,16,67,1,2020,57,45
49,1,8,6,80,43,6,45,45,1,30,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,22,1640000,6,77,57,77,8,Olasunkanmi,3,LB,56,Adeniyi,79,6,1,1,53,49,62,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",48,224,24,PIT,74,57,12,1,1,80,70,58,22,42,75,1,2017,34,63
37,1,8,6,76,71,6,45,45,1,25,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,32,1,6,75,55,80,26,Patrick,1,DE,16,Afriyie,71,6,0,1,15,56,64,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",31,224,43,Free Agent,75,55,12,1,1,76,63,43,24,29,78,1,2017,31,65
22,1,67,33,93,58,38,24,53,1,78,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,32,2790000,28,85,80,87,82,Nelson,6,WR,72,Agholor,65,38,3,1,32,74,25,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",6,19,51,NE,21,80,31,1,1,15,85,89,27,18,85,1,2014,69,85
31,1,1,6,70,62,6,45,45,1,25,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,40,920000,6,74,64,75,11,McTelvin,3,DE,11,Agim,83,6,4,1,60,40,67,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",99,94,41,DEN,80,64,21,1,1,79,61,17,22,22,68,1,2020,45,55
62,1,63,35,90,39,25,35,47,1,70,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,850000,30,90,72,86,70,Jamal,9,WR,21,Agnew,60,40,2,1,63,73,56,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",94,148,42,JAX,63,72,17,1,1,70,89,77,25,64,85,1,2016,57,88
27,1,42,20,84,82,15,48,30,1,46,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,22,610000,15,85,68,83,53,Salvon,2,RB,14,Ahmed,62,25,1,1,31,85,30,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",82,224,61,MIA,31,68,10,1,1,20,82,73,21,31,87,1,2020,51,83
68,1,35,6,81,63,6,35,35,1,30,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,38,1,6,89,67,84,17,Walt,1,S,35,Aikens,58,6,0,1,94,66,47,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",55,120,30,Free Agent,59,67,25,1,1,69,75,65,29,66,80,1,2013,49,80
53,1,77,20,91,43,24,36,48,1,78,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,527500,15,84,81,95,79,Brandon,11,WR,39,Aiyuk,65,25,4,1,10,72,50,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",9,24,62,SAN,49,81,13,1,1,50,87,81,22,48,87,1,2020,71,85
16,1,43,43,93,2,55,57,39,1,53,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,30,932500,41,86,76,86,53,Cam,10,RB,7,Akers,73,47,4,1,64,88,26,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",77,51,80,LAR,28,76,20,1,1,27,84,80,21,12,90,1,2020,63,83
31,1,1,6,72,70,6,45,45,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,46,1,6,73,54,80,10,Freedom ,12,DT,71,Akinmoladun,75,6,0,1,64,28,66,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",76,224,25,Free Agent,76,54,25,1,1,80,60,13,24,23,80,1,2018,29,57
14,1,77,27,74,36,30,56,59,1,64,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,1280000,22,83,77,84,67,Jordan,11,TE,82,Akins,76,36,2,1,16,72,25,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",40,97,70,HOU,28,77,12,1,1,15,72,70,28,12,78,1,2017,65,72
55,1,28,6,77,11,6,45,45,1,18,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,32,845000,6,79,56,80,13,Azeez,7,LB,84,Al-Shaair,67,6,2,1,53,46,67,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",15,224,37,SAN,80,56,20,1,1,83,70,33,23,48,78,1,2018,32,70
56,1,22,35,81,66,15,45,45,1,25,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,30,860000,30,85,55,86,9,Otaro,1,LB,26,Alaka,75,40,2,1,93,60,71,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",27,224,45,BAL,81,55,12,1,1,80,70,35,24,48,82,1,2018,31,67
69,1,23,6,82,93,6,35,35,1,25,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,1,6,91,70,87,13,Maurice,1,LB,96,Alexander,71,6,0,1,19,60,60,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",54,105,49,Free Agent,75,70,22,1,1,89,72,52,29,59,82,1,2013,54,78
62,1,23,6,82,94,6,45,45,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,18,1,6,79,68,82,8,D.J.,1,LB,97,Alexander,69,6,0,1,19,59,57,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",60,163,42,Free Agent,78,68,19,1,1,76,72,55,28,56,83,1,2014,51,77
76,1,32,6,87,30,6,10,16,1,27,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,30,1,6,90,81,88,18,Mackensie,8,CB,55,Alexander,59,6,0,1,44,57,60,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",54,54,28,Free Agent,64,81,17,1,1,60,90,69,26,80,83,1,2015,71,82
62,1,45,6,82,4,6,35,35,1,22,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,1,6,89,60,83,16,Adonis,6,CB,48,Alexander,61,6,0,1,37,59,45,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",12,160,25,Free Agent,55,60,13,1,1,50,82,66,23,66,83,1,2016,38,78
74,1,47,6,84,94,6,45,45,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,20,1,6,83,80,86,8,Kwon,1,LB,74,Alexander,79,6,0,1,97,50,73,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",8,120,50,Free Agent,81,80,20,1,1,86,80,56,26,67,83,1,2014,69,78
94,1,50,6,94,5,6,35,35,1,14,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,34,2605000,6,95,96,84,16,Jaire,8,CB,19,Alexander,60,6,2,1,92,62,54,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",20,17,25,GB,58,96,13,1,1,62,97,76,23,96,88,1,2017,94,88
74,1,55,6,89,69,6,35,35,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,1,6,92,70,93,13,Robert,6,CB,57,Alford,59,6,0,1,90,64,57,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",97,59,29,Free Agent,55,70,14,1,1,50,86,77,31,72,87,1,2012,54,85
13,1,73,10,75,14,10,63,67,1,68,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,14,750000,6,78,78,85,65,Mo,9,TE,39,Alie-Cox,70,15,1,1,44,72,19,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",19,118,66,IND,28,78,14,1,1,12,69,54,26,10,75,1,2017,66,68
12,1,1,6,66,67,6,68,67,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,846667,6,81,75,73,7,Nick,6,OG,4,Allegretti,83,6,3,1,72,40,31,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",10,193,25,KC,41,75,17,1,1,35,56,11,24,12,63,1,2018,62,37
