age,accelRating,newAccel,isActive,agilityRating,awareRating,newAware,bCVRating,birthDay,bigHitTrait,blockShedRating,birthMonth,breakSackRating,breakTackleRating,birthYear,college,clutchTrait,confRating,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,carryRating,contractSalary,contractYearsLeft,contractLength,catchRating,newCatch,cITRating,coverBallTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,durabilityGrade,dropOpenPassTrait,draftPick,draftPickNew,draftRound,draftRoundNew,draftNumber,oldDraftNumber,potential,desiredBonus,desiredSalary,desiredLength,devTrait,changeOfDirectionRating,fightForYardsTrait,firstName,finesseMovesRating,isFreeAgent,forcePassTrait,feetInBoundsTrait,height,highMotorTrait,hPCatchTrait,homeState,homeTown,hitPowerRating,impactBlockRating,injuryRating,injuryLength,intangibleGrade,injuryType,jukeMoveRating,jumpRating,jerseyNum,kickAccRating,kickPowerRating,kickRetRating,leadBlockRating,lBStyleTrait,legacyScore,lastName,manCoverRating,passBlockFinesseRating,passBlockPowerRating,playerBestOvr,physicalGrade,playActionRating,playBallTrait,playRecRating,penaltyTrait,productionGrade,predictTrait,presentationId,isOnPracticeSquad,pressRating,pursuitRating,passBlockRating,posCatchTrait,playerSchemeOvr,skillPoints,position,portraitId,powerMovesRating,qBStyleTrait,runBlockFinesseRating,runBlockPowerRating,rookieYear,releaseRating,runBlockRating,runStyle,rosterId,reSignStatus,routeRunDeepRating,routeRunMedRating,routeRunShortRating,,scheme,sizeGrade,sensePressureTrait,specCatchRating,speedRating,newSpeed,spinMoveRating,stripBallTrait,stiffArmRating,staminaRating,strengthRating,tackleRating,toughRating,tightSpiralTrait,throwAccRating,throwAccDeepRating,throwAccMidRating,throwAccShortRating,throwAwayTrait,throwPowerRating,throwOnRunRating,throwUnderPressureRating,teamId,truckRating,teamSchemeOvr,weight,experiencePoints,yACCatchTrait,yearsPro,zoneCoverRating,ability1,,ability2,ability3,ability4,ability5,,
27,94,90,TRUE,89,62,42,73,13,0,30,6,26,73,1993,Nebraska,0,50,890000,750000,140000,140000,79,750000,1,1,66,43,64,4,0,0,0,0,0,23,22,3,2,53,54,11,0,0,0,8.251765946,93,1,Ameer,5,FALSE,2,0,69,1,0,0,Homewood,21,22,84,0,71,97,88,90,31,21,23,84,24,1,10,Abdullah,10,44,48,71,89,10,1,23,1,0,0,2402,FALSE,25,17,60,0,71,0,HB,6981,5,0,18,19,2014,51,37,2,554041344,0,40,48,55,48,6,97,1,61,88,80,81,0,67,84,68,42,82,0,31,15,25,30,0,35,10,17,1012793410,59,71,203,2803,0,5,19,,MIN,,,Off,,1012793403,BAL
29,72,53,TRUE,52,77,65,19,5,0,25,6,12,6,1991,Virginia,0,50,780000,700000,160000,160000,45,1500000,2,2,25,1,15,4,0,0,0,0,0,9,8,6,5,135,136,13,0,0,0,0,57,0,Oday,10,FALSE,2,0,77,1,0,31,Brooklyn,25,82,95,0,63,97,10,61,60,28,15,10,83,1,0,Aboushi,11,67,69,63,79,6,1,18,1,0,0,1751,FALSE,10,21,68,0,63,0,RG,5648,20,0,69,64,2012,15,67,5,554041345,11,5,5,15,8,0,99,1,15,55,25,10,0,35,85,81,35,86,0,28,6,6,6,0,17,6,10,1012793384,29,63,315,4964,0,7,9,,LAC,,,Off,,1012793407,PIT
23,90,83,TRUE,84,73,58,61,25,1,60,10,31,52,1996,Mississippi State,0,50,2610000,500000,7650000,9240000,64,2250000,3,4,64,40,33,2,1,0,1,0,0,28,27,2,1,26,27,11,0,0,0,1,81,0,Johnathan,54,FALSE,2,0,72,1,0,23,Columbia,91,65,88,0,72,97,71,81,24,21,29,50,12,1,0,Abram,66,35,35,74,86,30,0,75,1,0,0,20459,FALSE,62,79,35,0,74,1,SS,9358,58,2,35,35,2018,12,35,1,554041346,11,10,10,20,13,13,95,1,61,92,87,63,1,36,89,70,70,94,0,21,25,33,45,0,53,35,26,1012793401,25,72,205,540,0,1,69,,LAS,,,Off,,1012793346,CIN
28,88,80,TRUE,81,72,57,64,11,0,68,4,13,49,1992,West Georgia,0,50,760000,760000,0,0,53,760000,1,1,60,33,48,3,0,0,1,0,0,0,224,64,64,224,225,10,0,0,0,0,73,0,Tyrell,76,FALSE,2,0,74,1,0,9,Atlanta,83,68,88,0,61,97,67,81,52,20,16,10,17,2,0,Adams,46,45,45,67,80,6,1,76,1,0,0,12503,FALSE,52,79,45,0,67,0,MLB,8281,52,0,45,45,2016,18,45,3,554041355,0,9,17,27,18,14,99,1,55,83,72,59,1,54,90,63,85,80,0,31,6,6,6,0,27,6,11,1012793347,56,61,228,4173,0,3,55,,BUF,,,Def,,1012793349,CLE
27,91,85,TRUE,83,76,63,49,28,0,43,10,10,43,1992,Connecticut,0,50,1010000,910000,100000,100000,59,910000,1,1,67,45,48,2,0,0,0,0,0,0,224,64,64,224,225,10,0,0,0,0,80,0,Andrew,56,FALSE,2,0,71,1,0,9,Fayetteville,78,59,88,0,70,97,69,82,26,21,21,60,14,1,0,Adams,64,35,35,71,82,6,1,73,1,0,0,12455,FALSE,61,71,35,0,71,0,SS,8280,53,0,35,35,2015,15,35,1,554041347,0,10,10,20,13,11,76,1,66,87,78,67,0,47,88,72,68,82,0,22,6,6,6,0,22,6,16,1012793350,51,70,205,3062,0,4,70,,TB,,,Off,,1012793394,JAX
24,88,80,TRUE,80,61,40,27,12,0,63,12,12,23,1995,Houston,0,50,690000,660000,60000,120000,46,2460000,2,4,53,22,40,3,1,0,0,0,0,4,3,8,7,194,195,1,0,0,0,0,73,0,Matthew,49,FALSE,2,0,72,1,0,42,Missouri City,86,70,90,0,67,97,37,81,49,14,18,10,19,2,0,Adams,53,45,45,67,84,6,1,62,1,0,0,13473,FALSE,49,78,45,0,67,0,LOLB,9696,55,0,45,45,2017,20,45,13,554041352,11,5,6,10,7,11,75,1,35,86,77,30,1,31,81,79,81,82,0,30,6,6,6,0,23,6,12,1012793386,30,67,229,2906,0,2,58,,IND,,,Def,,1012793409,TEN
25,78,63,TRUE,62,52,26,10,17,0,23,5,12,6,1995,Missouri,0,50,0,0,0,0,26,0,0,0,30,1,15,4,0,0,0,0,0,0,224,64,64,224,225,1,0,750000,1,0,49,0,Paul,20,TRUE,2,0,78,1,0,41,Nashville,31,77,86,0,53,97,10,68,73,25,25,10,80,1,0,Adams,12,62,59,53,76,6,1,31,0,0,0,20668,FALSE,10,26,61,0,53,0,LT,9359,24,0,64,61,2017,15,63,13,554041354,11,5,5,15,8,5,99,1,15,66,43,10,0,24,87,77,41,89,0,30,6,6,6,0,24,6,12,0,25,0,317,2005,0,2,15,,Free Agent,,,Off,,1012793408,HOU
27,86,77,TRUE,80,54,29,63,31,0,29,12,14,42,1992,South Carolina,0,50,0,0,0,0,70,0,0,0,78,63,71,4,0,0,0,0,0,10,9,7,6,168,169,3,0,1750000,1,0,74,0,Jerell,17,TRUE,2,0,77,1,0,39,Pinewood,27,62,86,0,60,97,61,80,84,19,21,18,48,1,0,Adams,14,50,55,60,76,6,1,22,1,0,0,17636,FALSE,17,28,56,1,60,0,TE,7871,17,0,52,61,2016,63,61,11,554041350,11,53,58,63,58,0,98,1,74,84,73,58,0,69,78,72,33,77,0,29,6,10,15,0,30,10,10,0,68,0,254,5054,1,3,21,,Free Agent,,,Off,,1012793386,IND
27,92,87,TRUE,92,98,97,90,24,0,52,12,22,80,1992,Fresno State,1,50,16600000,12500000,8200000,20300000,76,39210000,2,5,99,98,97,4,0,0,0,0,0,22,21,3,2,52,53,10,0,0,0,3,92,1,Davante,10,FALSE,2,1,73,0,1,4,Palo Alto,15,45,93,0,99,97,89,94,17,30,25,45,25,1,555,Adams,18,17,13,99,90,6,1,26,1,0,0,10823,FALSE,25,44,38,1,99,0,WR,6328,10,0,12,20,2013,99,48,3,554041348,11,93,98,99,97,0,94,1,98,91,85,82,0,75,96,63,42,87,0,31,6,10,15,0,45,10,20,1012793398,63,99,215,11929,1,6,24,Double Me,GB,Deep Out Elite,Red Zone Threat,Off,,1012793388,MIA
23,89,82,TRUE,88,65,46,78,29,0,27,10,26,79,1996,Notre Dame,0,50,750000,750000,0,0,88,750000,1,1,62,37,53,3,0,0,0,0,0,0,224,64,64,224,225,4,0,0,0,0,78,1,Josh,10,FALSE,2,0,74,1,0,37,Washington,25,32,87,0,68,97,81,82,36,12,17,35,28,1,0,Adams,15,32,37,68,86,15,1,16,1,0,0,13219,FALSE,14,30,47,0,68,0,HB,8794,10,0,26,30,2017,51,34,1,554041351,0,48,51,57,52,4,81,1,49,89,82,73,0,82,83,74,26,85,0,30,10,15,20,0,27,17,18,1012793395,81,68,225,1730,0,2,20,,NYJ,,,Off,,1012793395,NYJ
