iden,forename,surname,position,teamID,age,draftSeason,draftNum,length,salary,guarantee,eLength,eSalary,eGuarantee,potential,speed,burst,power,agility,jumping,stamina,injuryProne,discipline,intelligence,loyalty,greed,ambition,decisions,vision,sPassAcc,mPassAcc,dPassAcc,throwOnRun,routeRun,catching,passBlock,rushBlock,ballSecurity,trucking,kickAccuracy,zoneCover,manCover,blockShedding,ballStrip,tackle,elusiveness,releaseLine,skillMove,rating,growthType,appearance
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Ameer,Abdullah,RB,MIN,27,2014,53,1,750000,140000,1,1,1,5,80,90,68,89,90,84,16,58,66,65,67,41,42,48,30,25,15,10,38,39,60,37,79,59,21,19,10,30,21,42,93,6,85,1,0,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Oday,Aboushi,OG,LAC,29,2012,135,1,1500000,160000,1,1,1,1,25,53,81,52,61,85,5,69,65,88,91,62,65,72,6,6,6,6,7,1,68,67,45,29,28,9,11,25,25,35,57,1,10,1,2,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Johnathan,Abram,S,LAS,23,2018,26,3,562500,2310000,1,1,1,8,87,83,70,84,81,89,12,47,58,47,91,84,58,61,45,33,25,35,11,36,35,35,64,25,21,69,66,60,91,70,81,83,67,1,0,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Tyrell,Adams,LB,BUF,28,2016,224,1,760000,0,1,1,1,6,72,80,63,81,81,90,12,40,60,63,86,71,57,55,6,6,6,6,14,30,45,45,53,56,20,55,46,68,83,85,73,80,35,1,1,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Andrew,Adams,S,TB,27,2015,224,1,910000,100000,1,1,1,1,78,85,72,83,82,88,12,74,55,80,76,98,63,69,6,6,6,6,11,41,35,35,59,51,21,70,64,43,78,68,80,85,68,1,0,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Matthew,Adams,LB,IND,24,2017,194,2,615000,30000,1,1,1,1,77,80,79,80,81,81,10,70,37,65,47,59,40,45,6,6,6,6,6,20,45,45,46,30,14,58,53,63,86,81,73,80,38,1,1,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Josh,Adams,RB,NYJ,23,2017,224,1,750000,0,1,1,1,7,82,82,74,88,82,83,13,72,73,95,80,88,46,42,20,15,10,17,42,33,47,34,88,81,12,20,15,27,25,26,78,6,77,1,1,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Paul,Adams,OT,Free Agent,25,2017,224,0,0,0,1,1,1,4,43,63,77,62,68,87,14,99,26,96,72,79,26,26,6,6,6,6,7,1,61,63,26,25,25,15,12,23,31,41,49,1,10,1,0,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Jerell,Adams,TE,Free Agent,27,2016,168,0,0,0,1,1,1,2,73,77,72,80,80,78,14,73,54,66,90,61,29,31,15,10,6,10,46,57,56,61,70,68,19,21,14,29,27,33,74,30,60,1,1,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Montravius,Adams,DE,NE,25,2016,92,2,760000,180000,1,1,1,2,60,77,86,73,72,75,6,71,45,50,72,95,46,42,6,6,6,6,11,18,45,45,49,38,6,29,24,65,79,76,56,77,46,1,2,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Davante,Adams,WR,GB,27,2013,52,2,7842000,4060000,1,1,1,7,85,87,63,92,94,96,7,53,88,79,81,96,97,90,15,10,6,10,77,89,38,48,76,63,30,24,18,52,15,42,92,94,86,1,2,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
5A251D07-3C9D-4BD1-B511-FD20CA81227C,Jamal,Adams,S,SEA,24,2016,5,2,1088000,4638000,1,1,1,10,85,83,78,87,81,93,6,76,83,68,55,72,80,84,15,10,10,15,21,47,35,35,60,45,25,90,82,69,95,77,88,83,60,1,1,"[""Head3"",""Eyes3"",""Hair3Brown"",""Beard2Brown""]"
